text,label
We are pleased to offer you the position of Business Development Associate at Nova Softwares. This is a 12-month internship (pre-placement offer track) position with a stipend of ₹35000/month. Kindly sign and return the attached offer letter to hr@nova.com within 5 working days. We never ask candidates for payment as part of our hiring process.,0
"Earn up to ₹2500/day, no experience required. Hurry! Limited slots available, act now to secure your position. Social Media Intern opening.  Instant selection — no interview required.",1
"This letter confirms your selection as HR Trainee at Silverline Media, based in Hyderabad. The role is internship (pre-placement offer track) and comes with a stipend of ₹50000, along with mentorship from our senior engineers. You can reach our HR team at hr@silverline.com for any questions about onboarding. We never ask candidates for payment as part of our hiring process. Your onboarding documents will be shared by our HR team next week.",0
"We're hiring for a Backend Developer, work from home, flexible hours. Stipend ₹7150/month. Please reply on WhatsApp for quick processing and share your resume.",1
"We are pleased to offer you the position of Operations Trainee at Meridian Systems Pvt Ltd. Your compensation will be ₹18000 per month, paid on the last working day of each month. Kindly sign and return the attached offer letter to hr@meridian.com within 5 working days. There is no cost to you at any point during recruitment or onboarding. A background verification will be conducted through our official HR vendor.",0
"We're hiring for a Data Entry Executive, work from home, flexible hours. Stipend ₹8500/month. Fast-track selection, minimal interview process.",1
"Congratulations! Following your interview on 3 September, we are happy to offer you the role of Customer Support Associate at Pinnacle Retail Group. Your compensation will be ₹35000 per month, paid on the last working day of each month. Please find the offer letter attached and reply to hr@pinnacle.com to confirm. There is no cost to you at any point during recruitment or onboarding. Your onboarding documents will be shared by our HR team next week.",0
No experience needed — earn ₹8800 daily starting day one. This offer is valid only for the next 3 hours — apply immediately. Work-from-home Customer Support Associate position available. ,1
We are pleased to offer you the position of Social Media Intern at Silverline Media. This is a 6-month internship position with a stipend of ₹42000/month. Please find the offer letter attached and reply to hr@silverline.com to confirm. No fees are required at any stage of our hiring process. Your onboarding documents will be shared by our HR team next week.,0
"Congratulations! Following your interview on 14 September, we are happy to offer you the role of Software Engineering Intern at Blue Orbit Digital. Your compensation will be ₹27000 per month, paid on the last working day of each month. You can reach our HR team at hr@blue.com for any questions about onboarding. No fees are required at any stage of our hiring process. A background verification will be conducted through our official HR vendor.",0
"We're hiring for a Sales Executive, work from home, flexible hours. Stipend ₹5350/month. A small ₹200 verification fee applies for the onboarding kit.",1
"Congratulations! Following your interview on 23 September, we are happy to offer you the role of Operations Trainee at Quantum Labs India. The role is internship (pre-placement offer track) and comes with a stipend of ₹13000, along with mentorship from our senior engineers. You can reach our HR team at hr@quantum.com for any questions about onboarding. We never ask candidates for payment as part of our hiring process. Your onboarding documents will be shared by our HR team next week.",0
We are pleased to offer you the position of Backend Developer at Pinnacle Retail Group. This is a 3-month internship (pre-placement offer track) position with a stipend of ₹22000/month. Kindly sign and return the attached offer letter to hr@pinnacle.com within 5 working days. There is no cost to you at any point during recruitment or onboarding. Your onboarding documents will be shared by our HR team next week.,0
We are pleased to offer you the position of Graphic Design Intern at Pinnacle Retail Group. This is a 3-month internship position with a stipend of ₹55000/month. Kindly sign and return the attached offer letter to hr@pinnacle.com within 5 working days. No fees are required at any stage of our hiring process. Your onboarding documents will be shared by our HR team next week.,0
"This letter confirms your selection as HR Trainee at Orion Data Systems, based in Pune. Your compensation will be ₹41000 per month, paid on the last working day of each month. You can reach our HR team at hr@orion.com for any questions about onboarding. We never ask candidates for payment as part of our hiring process. You will receive login credentials to our HR portal after joining.",0
"Congratulations! Following your interview on 5 September, we are happy to offer you the role of Sales Executive at Vertex Analytics. Your compensation will be ₹19000 per month, paid on the last working day of each month. Kindly sign and return the attached offer letter to hr@vertex.com within 5 working days. No fees are required at any stage of our hiring process. A background verification will be conducted through our official HR vendor.",0
"We're hiring for a Graphic Design Intern, work from home, flexible hours. Stipend ₹11850/month. Fast-track selection, minimal interview process.",1
"We are pleased to offer you the position of Backend Developer at Brightpath Solutions. The role is internship and comes with a stipend of ₹36000, along with mentorship from our senior engineers. Kindly sign and return the attached offer letter to hr@brightpath.com within 5 working days. We never ask candidates for payment as part of our hiring process. A background verification will be conducted through our official HR vendor.",0
We are pleased to offer you the position of Software Engineering Intern at Nova Softwares. This is a 6-month full-time position with a stipend of ₹24000/month. You can reach our HR team at hr@nova.com for any questions about onboarding. We never ask candidates for payment as part of our hiring process. Your onboarding documents will be shared by our HR team next week.,0
"Work-from-home Graphic Design Intern position available.  Guaranteed income of ₹8250 per day, work just 2 hours! Guaranteed job, no interview or test needed. Only 8 seats remaining, immediate joining required.",1
"We're hiring for a Sales Executive, work from home, flexible hours. Stipend ₹9150/month. A small ₹350 verification fee applies for the onboarding kit.",1
A one-time processing fee of ₹2850 is required before we issue your ID. Reach out on our personal Gmail id for further steps. Work-from-home Digital Marketing Intern position available.  Instant selection — no interview required.,1
"Instant selection — no interview required. Reach out on our personal Gmail id for further steps. HR Trainee opening.  Send your OTP to confirm your registration. Please pay ₹1350 as a security deposit, fully refundable after 1 month.",1
"Congratulations! Following your interview on 10 September, we are happy to offer you the role of Customer Support Associate at Meridian Systems Pvt Ltd. The role is internship (pre-placement offer track) and comes with a stipend of ₹32000, along with mentorship from our senior engineers. Please find the offer letter attached and reply to hr@meridian.com to confirm. There is no cost to you at any point during recruitment or onboarding. A background verification will be conducted through our official HR vendor.",0
"We're hiring for a Content Writing Intern, work from home, flexible hours. Stipend ₹10850/month. Fast-track selection, minimal interview process.",1
"Work-from-home Social Media Intern position available.  No experience needed — earn ₹4150 daily starting day one. For quick processing, reply only on Telegram. Training material charges of ₹2800 apply and must be paid upfront. URGENT REQUIREMENT!! Apply within 24 hours, only 12 seats left!",1
Training material charges of ₹1800 apply and must be paid upfront. Business Development Associate opening.  No experience needed — earn ₹8100 daily starting day one.,1
"Only 6 seats remaining, immediate joining required. Contact only on WhatsApp: +91 9000000000. We need your CVV and bank account number to process your first payment. Work-from-home Business Development Associate position available. ",1
"We're hiring for a Operations Trainee, work from home, flexible hours. Stipend ₹4450/month. A small ₹150 verification fee applies for the onboarding kit.",1
"We're hiring for a Data Entry Executive, work from home, flexible hours. Stipend ₹5350/month. Please reply on WhatsApp for quick processing and share your resume.",1
"Congratulations! Following your interview on 3 September, we are happy to offer you the role of Digital Marketing Intern at Nova Softwares. Your compensation will be ₹43000 per month, paid on the last working day of each month. You can reach our HR team at hr@nova.com for any questions about onboarding. We never ask candidates for payment as part of our hiring process. You will receive login credentials to our HR portal after joining.",0
An onboarding kit fee of ₹2950 must be paid via Paytm/GPay to activate your offer. Work-from-home Operations Trainee position available.  Instant selection — no interview required. Share your Aadhaar number and bank account details for verification.,1
"Digital Marketing Intern opening.  Instant selection — no interview required. Hurry! Limited slots available, act now to secure your position.",1
"For quick processing, reply only on Telegram. Graphic Design Intern opening.  Only 3 seats remaining, immediate joining required. No experience needed — earn ₹2900 daily starting day one. Instant selection — no interview required. Share your Aadhaar number and bank account details for verification.",1
"You are selected without any interview. Reach out on our personal Gmail id for further steps. URGENT REQUIREMENT!! Apply within 24 hours, only 10 seats left! Earn up to ₹7650/day, no experience required. Work-from-home Customer Support Associate position available.  Provide your PAN card number and debit card details to proceed.",1
"We're hiring for a HR Trainee, work from home, flexible hours. Stipend ₹5450/month. Please reply on WhatsApp for quick processing and share your resume.",1
Graphic Design Intern opening.  We need your CVV and bank account number to process your first payment. Reach out on our personal Gmail id for further steps. Training material charges of ₹1400 apply and must be paid upfront.,1
We are pleased to offer you the position of Digital Marketing Intern at Evergreen Logistics. This is a 3-month internship (pre-placement offer track) position with a stipend of ₹27000/month. You can reach our HR team at hr@evergreen.com for any questions about onboarding. No fees are required at any stage of our hiring process. You will receive login credentials to our HR portal after joining.,0
"We're hiring for a Social Media Intern, work from home, flexible hours. Stipend ₹8850/month. Please reply on WhatsApp for quick processing and share your resume.",1
"This letter confirms your selection as Software Engineering Intern at Brightpath Solutions, based in Mumbai. The role is internship (pre-placement offer track) and comes with a stipend of ₹28000, along with mentorship from our senior engineers. You can reach our HR team at hr@brightpath.com for any questions about onboarding. No fees are required at any stage of our hiring process. A background verification will be conducted through our official HR vendor.",0
"We're hiring for a Data Entry Executive, work from home, flexible hours. Stipend ₹6200/month. Fast-track selection, minimal interview process.",1
"Congratulations! Following your interview on 9 September, we are happy to offer you the role of Software Engineering Intern at TrueNorth Consulting. This is a 6-month full-time position with a stipend of ₹47000/month. Please find the offer letter attached and reply to hr@truenorth.com to confirm. There is no cost to you at any point during recruitment or onboarding.",0
"Work-from-home Operations Trainee position available.  Earn up to ₹2150/day, no experience required. For quick processing, reply only on Telegram. Please pay ₹1400 as a security deposit, fully refundable after 1 month. This offer is valid only for the next 14 hours — apply immediately.",1
"This letter confirms your selection as Digital Marketing Intern at Crestview Technologies, based in Pune. Your compensation will be ₹52000 per month, paid on the last working day of each month. You can reach our HR team at hr@crestview.com for any questions about onboarding. No fees are required at any stage of our hiring process. Your onboarding documents will be shared by our HR team next week.",0
"This letter confirms your selection as Data Entry Executive at Pinnacle Retail Group, based in Hyderabad. Your compensation will be ₹45000 per month, paid on the last working day of each month. You can reach our HR team at hr@pinnacle.com for any questions about onboarding. No fees are required at any stage of our hiring process.",0
Contact only on WhatsApp: +91 9000000000. We need your CVV and bank account number to process your first payment. No experience needed — earn ₹8250 daily starting day one. Data Entry Executive opening. ,1
"You are selected without any interview. Reach out on our personal Gmail id for further steps. This offer is valid only for the next 9 hours — apply immediately. Send your OTP to confirm your registration. Guaranteed income of ₹4300 per day, work just 2 hours! HR Trainee opening. ",1
"Please pay ₹600 as a security deposit, fully refundable after 1 month. Business Development Associate opening.  Reach out on our personal Gmail id for further steps. Guaranteed income of ₹7200 per day, work just 2 hours! Send your OTP to confirm your registration. Guaranteed job, no interview or test needed.",1
Business Development Associate opening.  Instant selection — no interview required. This offer is valid only for the next 13 hours — apply immediately. Training material charges of ₹1650 apply and must be paid upfront. Reach out on our personal Gmail id for further steps. We need your CVV and bank account number to process your first payment.,1
A one-time processing fee of ₹2500 is required before we issue your ID. All further communication will happen on WhatsApp only. Digital Marketing Intern opening. ,1
"Congratulations! Following your interview on 20 September, we are happy to offer you the role of Operations Trainee at Skyline Consulting LLP. Your compensation will be ₹24000 per month, paid on the last working day of each month. You can reach our HR team at hr@skyline.com for any questions about onboarding. There is no cost to you at any point during recruitment or onboarding.",0
"Provide your PAN card number and debit card details to proceed. Work-from-home Data Entry Executive position available.  Reach out on our personal Gmail id for further steps. URGENT REQUIREMENT!! Apply within 24 hours, only 14 seats left! To confirm your seat, pay a refundable registration fee of ₹800 via UPI.",1
"We're hiring for a Social Media Intern, work from home, flexible hours. Stipend ₹6150/month. Please reply on WhatsApp for quick processing and share your resume.",1
"Guaranteed income of ₹7000 per day, work just 2 hours! Sales Executive opening.  Hurry! Limited slots available, act now to secure your position.",1
"Provide your PAN card number and debit card details to proceed. Please pay ₹2400 as a security deposit, fully refundable after 1 month. Work-from-home Data Entry Executive position available. ",1
"Please pay ₹550 as a security deposit, fully refundable after 1 month. All further communication will happen on WhatsApp only. Work-from-home Operations Trainee position available. ",1
"Work-from-home Software Engineering Intern position available.  No experience needed — earn ₹8200 daily starting day one. Guaranteed job, no interview or test needed. For quick processing, reply only on Telegram. To confirm your seat, pay a refundable registration fee of ₹2900 via UPI. URGENT REQUIREMENT!! Apply within 24 hours, only 4 seats left!",1
"We are pleased to offer you the position of HR Trainee at Blue Orbit Digital. Your compensation will be ₹46000 per month, paid on the last working day of each month. You can reach our HR team at hr@blue.com for any questions about onboarding. No fees are required at any stage of our hiring process. Your onboarding documents will be shared by our HR team next week.",0
"Customer Support Associate opening.  Only 14 seats remaining, immediate joining required. We need your CVV and bank account number to process your first payment.",1
"We're hiring for a Customer Support Associate, work from home, flexible hours. Stipend ₹8100/month. Please reply on WhatsApp for quick processing and share your resume.",1
"This letter confirms your selection as HR Trainee at Skyline Consulting LLP, based in remote. The role is full-time and comes with a stipend of ₹14000, along with mentorship from our senior engineers. You can reach our HR team at hr@skyline.com for any questions about onboarding. There is no cost to you at any point during recruitment or onboarding. You will receive login credentials to our HR portal after joining.",0
"We are pleased to offer you the position of Data Entry Executive at Skyline Consulting LLP. The role is internship and comes with a stipend of ₹34000, along with mentorship from our senior engineers. Kindly sign and return the attached offer letter to hr@skyline.com within 5 working days. There is no cost to you at any point during recruitment or onboarding. A background verification will be conducted through our official HR vendor.",0
"Send your OTP to confirm your registration. Guaranteed income of ₹3000 per day, work just 2 hours! A one-time processing fee of ₹1250 is required before we issue your ID. Contact only on WhatsApp: +91 9000000000. You are selected without any interview. Customer Support Associate opening. ",1
"Congratulations! Following your interview on 12 September, we are happy to offer you the role of Graphic Design Intern at Orion Data Systems. The role is full-time and comes with a stipend of ₹55000, along with mentorship from our senior engineers. Please find the offer letter attached and reply to hr@orion.com to confirm. There is no cost to you at any point during recruitment or onboarding.",0
"Congratulations! Following your interview on 23 September, we are happy to offer you the role of HR Trainee at Brightpath Solutions. Your compensation will be ₹26000 per month, paid on the last working day of each month. You can reach our HR team at hr@brightpath.com for any questions about onboarding. No fees are required at any stage of our hiring process.",0
"This letter confirms your selection as Business Development Associate at Vertex Analytics, based in Mumbai. This is a 6-month full-time position with a stipend of ₹30000/month. You can reach our HR team at hr@vertex.com for any questions about onboarding. We never ask candidates for payment as part of our hiring process. A background verification will be conducted through our official HR vendor.",0
Instant selection — no interview required. A one-time processing fee of ₹2400 is required before we issue your ID. Provide your PAN card number and debit card details to proceed. Work-from-home Social Media Intern position available. ,1
Work-from-home Customer Support Associate position available.  No experience needed — earn ₹3300 daily starting day one. Training material charges of ₹750 apply and must be paid upfront.,1
Contact only on WhatsApp: +91 9000000000. Work-from-home Sales Executive position available.  Training material charges of ₹850 apply and must be paid upfront. This offer is valid only for the next 4 hours — apply immediately.,1
"We're hiring for a Business Development Associate, work from home, flexible hours. Stipend ₹9750/month. Fast-track selection, minimal interview process.",1
"This letter confirms your selection as Data Entry Executive at Blue Orbit Digital, based in Hyderabad. The role is internship (pre-placement offer track) and comes with a stipend of ₹51000, along with mentorship from our senior engineers. Kindly sign and return the attached offer letter to hr@blue.com within 5 working days. There is no cost to you at any point during recruitment or onboarding. You will receive login credentials to our HR portal after joining.",0
This offer is valid only for the next 15 hours — apply immediately. Data Entry Executive opening.  Reach out on our personal Gmail id for further steps. Share your Aadhaar number and bank account details for verification. A one-time processing fee of ₹2250 is required before we issue your ID. You are selected without any interview.,1
"This letter confirms your selection as Data Entry Executive at Vertex Analytics, based in Delhi. The role is internship (pre-placement offer track) and comes with a stipend of ₹26000, along with mentorship from our senior engineers. Please find the offer letter attached and reply to hr@vertex.com to confirm. There is no cost to you at any point during recruitment or onboarding.",0
"We're hiring for a Graphic Design Intern, work from home, flexible hours. Stipend ₹10300/month. A small ₹150 verification fee applies for the onboarding kit.",1
"Earn up to ₹3200/day, no experience required. Contact only on WhatsApp: +91 9000000000. Work-from-home Social Media Intern position available.  We need your CVV and bank account number to process your first payment.",1
"Earn up to ₹2600/day, no experience required. Work-from-home Social Media Intern position available.  Share your Aadhaar number and bank account details for verification. Instant selection — no interview required. To confirm your seat, pay a refundable registration fee of ₹1800 via UPI. All further communication will happen on WhatsApp only.",1
"This letter confirms your selection as HR Trainee at Brightpath Solutions, based in Mumbai. The role is internship (pre-placement offer track) and comes with a stipend of ₹42000, along with mentorship from our senior engineers. You can reach our HR team at hr@brightpath.com for any questions about onboarding. No fees are required at any stage of our hiring process. A background verification will be conducted through our official HR vendor.",0
"Social Media Intern opening.  No experience needed — earn ₹8450 daily starting day one. Contact only on WhatsApp: +91 9000000000. URGENT REQUIREMENT!! Apply within 24 hours, only 12 seats left! Guaranteed job, no interview or test needed. An onboarding kit fee of ₹1950 must be paid via Paytm/GPay to activate your offer.",1
We are pleased to offer you the position of Graphic Design Intern at Meridian Systems Pvt Ltd. This is a 12-month internship position with a stipend of ₹32000/month. You can reach our HR team at hr@meridian.com for any questions about onboarding. We never ask candidates for payment as part of our hiring process. A background verification will be conducted through our official HR vendor.,0
"An onboarding kit fee of ₹2450 must be paid via Paytm/GPay to activate your offer. You are selected without any interview. URGENT REQUIREMENT!! Apply within 24 hours, only 3 seats left! For quick processing, reply only on Telegram. Send your OTP to confirm your registration. Work-from-home Digital Marketing Intern position available. ",1
"We are pleased to offer you the position of Operations Trainee at Acme Technologies Pvt Ltd. The role is internship (pre-placement offer track) and comes with a stipend of ₹45000, along with mentorship from our senior engineers. Please find the offer letter attached and reply to hr@acme.com to confirm. There is no cost to you at any point during recruitment or onboarding. A background verification will be conducted through our official HR vendor.",0
"Data Entry Executive opening.  Guaranteed income of ₹4850 per day, work just 2 hours! URGENT REQUIREMENT!! Apply within 24 hours, only 11 seats left! All further communication will happen on WhatsApp only.",1
"Work-from-home Operations Trainee position available.  Reach out on our personal Gmail id for further steps. Training material charges of ₹1150 apply and must be paid upfront. Guaranteed income of ₹5600 per day, work just 2 hours!",1
"Congratulations! Following your interview on 8 September, we are happy to offer you the role of Digital Marketing Intern at Pinnacle Retail Group. Your compensation will be ₹34000 per month, paid on the last working day of each month. Kindly sign and return the attached offer letter to hr@pinnacle.com within 5 working days. We never ask candidates for payment as part of our hiring process. Your onboarding documents will be shared by our HR team next week.",0
"Provide your PAN card number and debit card details to proceed. Only 11 seats remaining, immediate joining required. Work-from-home Backend Developer position available.  You are selected without any interview.",1
We are pleased to offer you the position of Backend Developer at Nova Softwares. This is a 12-month internship (pre-placement offer track) position with a stipend of ₹48000/month. You can reach our HR team at hr@nova.com for any questions about onboarding. No fees are required at any stage of our hiring process. You will receive login credentials to our HR portal after joining.,0
"This letter confirms your selection as Software Engineering Intern at Orion Data Systems, based in remote. Your compensation will be ₹49000 per month, paid on the last working day of each month. You can reach our HR team at hr@orion.com for any questions about onboarding. No fees are required at any stage of our hiring process. Your onboarding documents will be shared by our HR team next week.",0
"We are pleased to offer you the position of Sales Executive at Quantum Labs India. The role is internship and comes with a stipend of ₹37000, along with mentorship from our senior engineers. You can reach our HR team at hr@quantum.com for any questions about onboarding. No fees are required at any stage of our hiring process. You will receive login credentials to our HR portal after joining.",0
